,counterpress,location,match_id,out,pass_aerial_won,pass_angle,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outswinging,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,player,position,under_pressure,xA
6,,"[61.0, 40.1]",3878546,,,2.1025205,Right Foot,,,,"[60.0, 41.8]",,Ground Pass,,1.9723083,,,,,,,,Kick Off,Gonzalo Gerardo Higuaín,Right Center Forward,,5.8005094e-06
7,,"[59.1, 41.6]",3878546,,,2.726518,Right Foot,,,,"[47.3, 46.8]",,Ground Pass,,12.89496,,,,,,,,,Dries Mertens,Left Center Forward,,0.00026022267
8,,"[47.3, 46.8]",3878546,,,-1.885554,Right Foot,,,,"[45.9, 42.5]",,Ground Pass,,4.5221677,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,1.3373804e-06
9,,"[45.9, 42.5]",3878546,,,0.5125596,Right Foot,,,,"[101.7, 73.9]",,High Pass,,64.02812,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,7.0107544e-06
10,,"[105.5, 80.0]",3878546,,,-0.941423,,,,,"[113.0, 69.7]",,High Pass,,12.741272,,,,,,,,Throw-in,Christian Maggio,Right Back,,4.189224e-05
11,,"[113.0, 69.9]",3878546,,,-1.6173728,Right Foot,True,,,"[111.9, 46.3]",,High Pass,,23.625622,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,7.392043e-05
12,,"[88.7, 62.4]",3878546,,,-2.9899008,Right Foot,,,,"[73.0, 60.0]",,Ground Pass,,15.8823805,,,,,,,,Recovery,Mirko Valdifiori,Center Defensive Midfield,,7.989821e-06
13,,"[73.0, 60.0]",3878546,,,-2.7128146,Right Foot,,,,"[55.5, 52.0]",,Ground Pass,,19.241882,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.360528e-05
14,,"[55.6, 44.2]",3878546,,,-1.5300026,Right Foot,,,,"[57.0, 9.9]",,Ground Pass,,34.32856,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,3.3270808e-06
15,,"[57.0, 12.2]",3878546,,,0.18164884,Left Foot,,,,"[76.6, 15.8]",,Ground Pass,,19.92787,,,,,,,,,Elseid Hysaj,Left Back,,2.9383527e-06
16,,"[65.0, 14.3]",3878546,,,2.2281854,Right Foot,,,,"[43.0, 42.8]",,High Pass,,36.00347,,,,,,,,,Marek Hamšík,Left Center Midfield,,1.2438645e-06
17,,"[43.9, 42.3]",3878546,,,-1.3328387,Right Foot,,,,"[49.6, 18.8]",,Ground Pass,,24.181398,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.4362205e-06
18,,"[52.2, 25.9]",3878546,,,0.16433369,Right Foot,,,,"[72.1, 29.2]",,Ground Pass,,20.171762,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,4.585838e-07
19,,"[73.1, 26.9]",3878546,,,-2.5841224,Right Foot,,,,"[49.2, 12.0]",,High Pass,,28.164162,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,2.781831e-06
20,,"[49.2, 12.0]",3878546,,,-0.7704739,Head,,,,"[56.0, 5.4]",,Low Pass,,9.476286,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,9.453967e-07
21,,"[56.0, 5.4]",3878546,,,-0.030111378,Right Foot,,,,"[72.6, 4.9]",,High Pass,,16.607529,,,,,,,,,Elseid Hysaj,Left Back,,1.0337748e-05
22,,"[71.9, 4.4]",3878546,,,2.197867,Right Foot,,,,"[66.9, 11.3]",,Ground Pass,,8.521151,,,,,,,,,Marek Hamšík,Left Center Midfield,True,1.9924198e-06
25,,"[91.3, 80.0]",3878546,,,-1.3007708,,,,,"[94.4, 68.8]",,Low Pass,,11.621101,,,,,,,,Throw-in,Christian Maggio,Right Back,,2.3056566e-05
26,,"[95.5, 70.7]",3878546,,,-1.5707964,Right Foot,,,,"[95.5, 59.1]",,Low Pass,,11.6,,,,,,,,,David López Silva,Right Center Midfield,True,1.2405367e-05
27,,"[95.5, 59.1]",3878546,,,0.093603216,Right Foot,,,,"[120.0, 61.4]",,High Pass,,24.607723,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,0.000993653
30,,"[69.2, 47.5]",3878546,,,0.0,Right Foot,,,,"[78.7, 47.5]",,Ground Pass,,9.5,,,,,,,,Recovery,Marek Hamšík,Left Center Midfield,True,1.9692825e-06
31,,"[84.6, 43.9]",3878546,,,0.7447701,Left Foot,,,,"[97.4, 55.7]",,Ground Pass,,17.409193,,,,True,,,,,Lorenzo Insigne,Center Attacking Midfield,,6.0101043e-05
38,,"[56.7, 10.3]",3878546,,,-0.515549,Left Foot,,,,"[65.7, 5.2]",,Ground Pass,,10.3445635,,,,,,,,,Marek Hamšík,Left Center Midfield,,3.263464e-06
39,,"[63.8, 5.2]",3878546,,,1.4074302,Left Foot,,,,"[65.3, 14.3]",,Ground Pass,,9.222797,,,,,,,,Free Kick,Elseid Hysaj,Left Back,,2.6829644e-06
40,,"[65.3, 14.3]",3878546,,,-1.1169523,Left Foot,,,,"[69.3, 6.1]",,Ground Pass,,9.123596,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,1.2474891e-06
44,,"[67.9, 29.0]",3878546,,True,1.9203175,,,,,"[64.0, 39.7]",,Low Pass,,11.388591,,,,,,,,Recovery,Mirko Valdifiori,Center Defensive Midfield,True,1.4215853e-05
45,,"[64.0, 39.7]",3878546,,,-1.4747076,Right Foot,,,,"[66.4, 14.8]",,Ground Pass,,25.015396,,,,,,,,,David López Silva,Right Center Midfield,,0.00012489477
46,,"[63.8, 15.8]",3878546,,,2.3285336,Right Foot,,,,"[51.5, 28.8]",,Ground Pass,,17.896648,,,,,,,,,Marek Hamšík,Left Center Midfield,True,1.0614671e-06
47,,"[52.5, 33.0]",3878546,,,1.4279089,Right Foot,,,,"[58.6, 75.4]",,Ground Pass,,42.83655,,,,,True,,,,Vlad Iulian Chiricheș,Left Center Back,,7.80485e-06
48,,"[60.7, 75.9]",3878546,,,-2.4209502,Right Foot,,,,"[45.1, 62.2]",,Low Pass,,20.761744,,,,,,,,,Christian Maggio,Right Back,True,7.898944e-06
49,,"[44.2, 59.3]",3878546,,,-2.0001438,Right Foot,,,,"[36.6, 42.7]",,Ground Pass,,18.257053,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,6.926071e-06
50,,"[50.6, 30.4]",3878546,,,1.8801252,Right Foot,,,,"[41.3, 59.5]",,Ground Pass,,30.54996,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,True,5.9321655e-06
51,,"[39.2, 61.6]",3878546,,,0.47508293,Right Foot,,,,"[70.5, 77.7]",,Ground Pass,,35.19801,,,,,,,,,Christian Maggio,Right Back,,2.026548e-06
53,,"[63.1, 77.0]",3878546,,,1.0088748,Left Foot,,,,"[64.8, 79.7]",,Low Pass,,3.1906111,,,,,,,,Recovery,David López Silva,Right Center Midfield,,6.2562876e-06
57,,"[49.6, 68.8]",3878546,,,-0.27829966,Right Foot,,,,"[65.7, 64.2]",,High Pass,,16.744253,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,,1.5448152e-06
59,,"[13.2, 80.0]",3878546,,,-1.731559,,,,,"[12.0, 72.6]",,Low Pass,,7.496666,,,,,,,,Throw-in,Christian Maggio,Right Back,,1.8058854e-06
60,,"[12.3, 72.5]",3878546,,,-0.08944678,Right Foot,,,,"[56.9, 68.5]",,High Pass,,44.779015,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,True,2.5726754e-06
63,,"[14.8, 49.1]",3878546,,,-0.0384903,Drop Kick,,,,"[95.3, 46.0]",,High Pass,,80.55967,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,0.00012303129
68,,"[51.7, 8.2]",3878546,,,1.3994172,Right Foot,,,,"[54.4, 23.8]",,Ground Pass,,15.83193,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,2.2314568e-06
69,,"[54.4, 23.8]",3878546,,,-0.4677628,Right Foot,,,,"[64.1, 18.9]",,Ground Pass,,10.867382,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,1.0349992e-06
70,,"[64.6, 19.3]",3878546,,,3.01568,Right Foot,,,,"[56.7, 20.3]",,Ground Pass,,7.9630394,,,,,,,,,Marek Hamšík,Left Center Midfield,True,1.6959452e-06
71,,"[56.7, 20.3]",3878546,,,0.71160245,Right Foot,,,,"[98.1, 56.0]",,High Pass,,54.666718,,,,,,Through Ball,True,,Mirko Valdifiori,Center Defensive Midfield,,0.02132315
74,,"[34.8, 14.6]",3878546,,,-0.1448125,Head,,,,"[44.4, 13.2]",,Low Pass,,9.701547,,,,,,,,Recovery,Elseid Hysaj,Left Back,,2.0316024e-06
75,,"[49.1, 24.7]",3878546,,,1.815775,Right Foot,,,,"[45.9, 37.5]",,Ground Pass,,13.193938,,,,,,,,,Marek Hamšík,Left Center Midfield,,8.46945e-05
76,,"[46.6, 37.1]",3878546,,,1.3225064,Right Foot,,,,"[55.6, 72.6]",,Low Pass,,36.62308,,,,,,,,,David López Silva,Right Center Midfield,True,5.4321943e-05
77,,"[55.5, 73.0]",3878546,,,-2.3976455,Right Foot,,,,"[44.2, 62.6]",,Ground Pass,,15.357409,,,,,,,,,Christian Maggio,Right Back,,4.621427e-06
78,,"[49.2, 64.0]",3878546,,,-0.78059053,Right Foot,,,,"[91.0, 22.6]",,High Pass,,58.831963,,,,,True,,,,Raúl Albiol i Tortajada,Right Center Back,,2.3178995e-06
79,,"[92.0, 22.1]",3878546,,,-1.8692952,Right Foot,,,,"[91.2, 19.5]",,Ground Pass,,2.720294,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.1556031e-06
80,,"[92.0, 20.0]",3878546,,,-1.5861797,Right Foot,,,,"[91.8, 7.0]",,Ground Pass,,13.001538,,,,,,,,Recovery,Lorenzo Insigne,Center Attacking Midfield,,7.333135e-06
81,,"[101.2, 13.0]",3878546,,,1.920963,Left Foot,,,,"[97.0, 24.5]",,Ground Pass,,12.242957,,,,,,,,,Marek Hamšík,Left Center Midfield,,0.0039261393
82,,"[99.0, 23.8]",3878546,,,-0.052333124,Right Foot,,,,"[120.0, 22.7]",,Ground Pass,,21.02879,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,0.0020285521
89,,"[87.9, 70.9]",3878546,,,0.5771922,Head,,,,"[96.5, 76.5]",,High Pass,,10.262553,,,,,,,,Recovery,David López Silva,Right Center Midfield,,9.143754e-06
94,,"[78.7, 67.3]",3878546,,,-0.60293996,Right Foot,,,,"[104.7, 49.4]",,High Pass,,31.565962,,,,True,,,,Free Kick,Mirko Valdifiori,Center Defensive Midfield,,3.3986682e-05
102,,"[10.2, 43.2]",3878546,,,-0.5296837,Keeper Arm,,,,"[29.5, 31.9]",,Ground Pass,,22.364704,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,4.7101494e-06
103,,"[29.7, 33.1]",3878546,,,1.5083776,Right Foot,,,,"[31.0, 53.9]",,Ground Pass,,20.840586,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,6.4017245e-06
104,,"[48.7, 43.4]",3878546,,,0.74782187,Left Foot,,,,"[55.6, 49.8]",,Ground Pass,,9.411163,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,4.544332e-06
105,,"[55.6, 49.8]",3878546,,,-2.4980915,Right Foot,,,,"[48.4, 44.4]",,Ground Pass,,9.0,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,2.236101e-06
106,,"[53.4, 37.5]",3878546,,,-1.4250789,Right Foot,,,,"[57.7, 8.2]",,Ground Pass,,29.613848,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,3.1913855e-06
107,,"[59.1, 8.2]",3878546,,,-0.8809963,Right Foot,,,,"[65.7, 0.2]",,Ground Pass,,10.371114,,,,,,,,,Elseid Hysaj,Left Back,,9.05487e-06
112,,"[52.2, 47.3]",3878546,,,0.3290497,Other,,,,"[56.3, 48.7]",,Low Pass,,4.3324356,,,,,,,,Recovery,Vlad Iulian Chiricheș,Left Center Back,True,6.8958754e-05
115,,"[42.8, 41.8]",3878546,,,-1.166416,Right Foot,,,,"[52.9, 18.2]",,Ground Pass,,25.67041,,,,,,,,,Christian Maggio,Right Back,,6.328326e-06
116,,"[77.3, 10.3]",3878546,,,1.2529984,Left Foot,,,,"[82.3, 25.5]",,Ground Pass,,16.00125,,,,,,,,,Marek Hamšík,Left Center Midfield,,4.627963e-06
117,,"[80.6, 29.7]",3878546,,,0.38794425,Right Foot,,,,"[101.4, 38.2]",,Low Pass,,22.469757,,,,,,,,,Dries Mertens,Left Center Forward,,0.000168041
128,,"[15.1, 16.7]",3878546,,,-0.12565033,Right Foot,,,,"[24.6, 15.5]",,Low Pass,,9.57549,,,,,,,,Recovery,Mirko Valdifiori,Center Defensive Midfield,True,2.2727422e-06
129,,"[26.7, 16.7]",3878546,,,-0.26747206,Right Foot,,,,"[47.5, 11.0]",,Low Pass,,21.566874,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.5140273e-06
135,,"[7.0, 36.1]",3878546,,,0.79422516,Right Foot,,,,"[46.3, 76.1]",,High Pass,,56.075752,,,,,,,,Goal Kick,José Manuel Reina Páez,Goalkeeper,,1.9657286e-05
136,,"[48.7, 78.2]",3878546,,,-0.57202953,Right Foot,,,,"[63.3, 68.8]",,Low Pass,,17.364332,,,,,,,,,Christian Maggio,Right Back,True,2.1079716e-06
137,,"[60.8, 69.4]",3878546,,,3.127575,Left Foot,,,,"[39.4, 69.7]",,Ground Pass,,21.402103,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,,3.3345874e-05
138,,"[39.4, 69.7]",3878546,,,-0.8657932,Right Foot,,,,"[49.1, 58.3]",,Ground Pass,,14.9683,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,7.28595e-06
139,,"[47.5, 60.2]",3878546,,,1.4547555,Right Foot,,,,"[49.4, 76.5]",,Ground Pass,,16.410362,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,True,9.518584e-06
140,,"[49.4, 76.5]",3878546,,,-2.7240663,Right Foot,,,,"[36.1, 70.6]",,Ground Pass,,14.549914,,,,,,,,,Christian Maggio,Right Back,,7.101483e-06
141,,"[45.1, 66.2]",3878546,,,-0.89894277,Right Foot,,,,"[65.3, 40.8]",,Ground Pass,,32.453045,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,4.031267e-06
142,,"[67.8, 42.3]",3878546,,,-0.2069922,Right Foot,,,,"[77.8, 40.2]",,Ground Pass,,10.218122,,,,,,,,,Marek Hamšík,Left Center Midfield,,1.3442929e-05
143,,"[77.8, 40.2]",3878546,,,1.5707964,Right Foot,,,,"[77.8, 51.2]",,Ground Pass,,11.0,,,,,,,,,Dries Mertens,Left Center Forward,,1.3742908e-05
144,,"[75.4, 50.6]",3878546,,,-0.57296616,Right Foot,,,,"[84.7, 44.6]",,Ground Pass,,11.06752,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,True,2.0258271e-06
170,,"[14.1, 31.9]",3878546,,,-0.53611124,Keeper Arm,,,,"[44.9, 13.6]",,High Pass,,35.826385,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,1.1924977e-05
171,,"[86.0, 19.3]",3878546,,,1.8639833,Right Foot,,,,"[82.8, 29.9]",,Ground Pass,,11.072489,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,3.0139918e-06
186,,"[42.5, 77.1]",3878546,,,-2.4474545,Left Foot,,,,"[9.7, 49.8]",,Ground Pass,,42.674698,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,True,9.605122e-06
187,,"[16.1, 54.8]",3878546,,,-0.017567739,Right Foot,,,,"[84.4, 53.6]",,High Pass,,68.31054,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,2.3528888e-05
190,,"[20.3, 65.5]",3878546,,,0.5435874,Right Foot,,,,"[34.2, 73.9]",,Ground Pass,,16.240997,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,True,1.9191912e-06
191,,"[32.9, 73.7]",3878546,,,0.16076274,Right Foot,,,,"[47.7, 76.1]",,Ground Pass,,14.993332,,,,,,,,,Christian Maggio,Right Back,,1.4701392e-06
192,,"[61.5, 76.6]",3878546,,,-1.3144287,Right Foot,,,,"[66.9, 56.0]",,Ground Pass,,21.29601,,,,,,,,,David López Silva,Right Center Midfield,True,5.968148e-06
193,,"[67.1, 53.9]",3878546,,,2.4578834,Right Foot,,,,"[61.7, 58.3]",,Ground Pass,,6.96563,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,,8.614328e-06
199,,"[38.7, 80.0]",3878546,,,-0.45202023,,,,,"[56.0, 71.6]",,High Pass,,19.231485,,,,,,,,Throw-in,Christian Maggio,Right Back,,1.074714e-06
200,,"[56.0, 71.6]",3878546,,True,-0.9619634,,,,,"[65.9, 57.4]",,High Pass,,17.310402,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,True,3.995549e-05
201,,"[55.8, 46.7]",3878546,,,-2.2767162,Right Foot,,,,"[50.6, 40.6]",,Ground Pass,,8.01561,,,,,,,,,Dries Mertens,Left Center Forward,,1.7208233e-06
202,,"[50.6, 40.6]",3878546,,,-0.9894801,Right Foot,,,,"[71.1, 9.4]",,Low Pass,,37.332157,,,,,,,,,Marek Hamšík,Left Center Midfield,,5.5909563e-06
203,,"[94.1, 0.1]",3878546,,,0.9591993,,,,,"[99.5, 7.8]",,Low Pass,,9.404786,,,,,,,,Throw-in,Elseid Hysaj,Left Back,,1.8615052e-05
204,,"[99.5, 7.8]",3878546,,,-2.8894966,Right Foot,,,,"[92.9, 6.1]",,High Pass,,6.8154235,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,6.1837654e-06
205,,"[92.9, 6.1]",3878546,,,1.3898698,Right Foot,,,,"[94.4, 14.3]",,High Pass,,8.336066,,,,,,,,,Elseid Hysaj,Left Back,,1.8869641e-05
206,,"[83.9, 17.5]",3878546,,,0.6658164,Right Foot,,,,"[112.8, 40.2]",,High Pass,,36.74915,,,,,,,,Recovery,Mirko Valdifiori,Center Defensive Midfield,,0.00025577148
214,,"[23.8, 50.5]",3878546,,,0.0,Right Foot,,,,"[31.7, 50.5]",,Ground Pass,,7.9,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,,2.4326453e-06
217,,"[7.0, 44.1]",3878546,,,-0.54118776,Right Foot,,,,"[64.4, 9.6]",,High Pass,,66.970215,,,,,,,,Goal Kick,José Manuel Reina Páez,Goalkeeper,,3.2086248e-06
221,,"[15.4, 37.0]",3878546,,,-0.15254135,Drop Kick,,,,"[85.0, 26.3]",,High Pass,,70.41768,,,,,,,,,José Manuel Reina Páez,Goalkeeper,,1.7735641e-05
222,,"[81.3, 27.5]",3878546,,,-2.243629,Right Foot,,,,"[76.2, 21.1]",,Low Pass,,8.18352,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,True,7.342533e-06
224,,"[71.3, 26.9]",3878546,,,0.31705576,Right Foot,,,,"[77.7, 29.0]",,Ground Pass,,6.735726,,,,,,,,Recovery,Mirko Valdifiori,Center Defensive Midfield,,4.881115e-07
225,,"[81.5, 63.1]",3878546,,,-2.7895484,Right Foot,,,,"[66.8, 57.7]",,Ground Pass,,15.6604595,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,True,1.0645119e-05
226,,"[66.8, 57.7]",3878546,,,-0.94291896,Right Foot,,,,"[104.4, 5.9]",,High Pass,,64.00781,,,,,True,,,,Raúl Albiol i Tortajada,Right Center Back,,5.9591177e-05
234,,"[31.7, 19.0]",3878546,,,0.3103874,Right Foot,,,,"[37.0, 20.7]",,Ground Pass,,5.565968,,,,,,,,,Elseid Hysaj,Left Back,True,7.6865797e-07
235,,"[36.6, 20.1]",3878546,,,-2.6832926,Right Foot,,,,"[29.1, 16.4]",,Ground Pass,,8.363014,,,,,,,,,Marek Hamšík,Left Center Midfield,True,1.3792242e-06
236,,"[29.1, 16.4]",3878546,,,0.6673061,Right Foot,,,,"[52.2, 34.6]",,High Pass,,29.408333,,,,,,,,,Elseid Hysaj,Left Back,,1.7154586e-06
237,,"[54.2, 34.0]",3878546,,,3.0810606,Other,,,,"[50.9, 34.2]",,Low Pass,,3.306055,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,True,0.00019731236
245,,"[30.4, 80.0]",3878546,,,-0.4808873,,,,,"[46.5, 71.6]",,High Pass,,18.15957,,,,,,,,Throw-in,Christian Maggio,Right Back,,1.3921098e-06
246,,"[46.5, 71.6]",3878546,,,0.18374453,Head,,,,"[57.8, 73.7]",,Low Pass,,11.493477,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,,4.7632357e-06
248,,"[44.7, 65.0]",3878546,,,-0.06714031,Left Foot,,,,"[102.7, 61.1]",,High Pass,,58.130974,,,,True,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,,6.729344e-05
250,,"[63.4, 5.5]",3878546,,True,0.8249256,,,,,"[71.9, 14.7]",,High Pass,,12.525574,,,,,,,,Recovery,Marek Hamšík,Left Center Midfield,True,3.3321678e-06
252,,"[75.8, 4.9]",3878546,,,1.0500118,Left Foot,,,,"[87.1, 24.6]",,Ground Pass,,22.71079,,,,,,,,,Marek Hamšík,Left Center Midfield,,9.599091e-07
254,,"[69.8, 13.2]",3878546,,,1.3288758,Right Foot,,,,"[71.7, 20.9]",,Ground Pass,,7.930952,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,2.4884982e-06
255,,"[71.7, 20.9]",3878546,,,-2.132115,Right Foot,,,,"[63.4, 7.7]",,Ground Pass,,15.592627,,,,,,,,,Dries Mertens,Left Center Forward,,7.353886e-06
256,,"[63.4, 7.7]",3878546,,,0.0,Right Foot,,,,"[78.5, 7.7]",,Ground Pass,,15.1,,,,,,,,,Elseid Hysaj,Left Back,,2.0662912e-06
257,,"[77.9, 7.7]",3878546,,,2.3239477,Right Foot,,,,"[74.9, 10.9]",,Ground Pass,,4.3863425,,,,,,,,,Gonzalo Gerardo Higuaín,Right Center Forward,,2.0200548e-06
261,,"[67.8, 0.1]",3878546,,,1.226717,,,,,"[76.4, 24.1]",,High Pass,,25.494312,,,,,,,,Throw-in,Elseid Hysaj,Left Back,,2.1874557e-06
262,,"[77.0, 23.7]",3878546,,,-0.27043614,Right Foot,,,,"[87.1, 20.9]",,High Pass,,10.480935,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,5.438729e-06
264,,"[83.9, 34.8]",3878546,,,-0.50369585,Right Foot,,,,"[106.4, 22.4]",,High Pass,,25.69066,,,,,,,,Recovery,David López Silva,Right Center Midfield,True,0.0001038981
265,,"[107.0, 22.6]",3878546,,,1.2722974,Right Foot,,,,"[107.8, 25.2]",,Low Pass,,2.720294,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,2.7831904e-05
269,,"[65.7, 5.1]",3878546,,,2.4272819,Right Foot,,,,"[48.4, 20.1]",,Ground Pass,,22.897379,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,,1.1922393e-06
270,,"[50.5, 20.3]",3878546,,,-1.1451051,Right Foot,,,,"[57.8, 4.2]",,Ground Pass,,17.67767,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,1.9382137e-06
271,,"[57.8, 4.9]",3878546,,,-0.031239834,Right Foot,,,,"[64.2, 4.7]",,Ground Pass,,6.4031243,,,,,,,,,Elseid Hysaj,Left Back,,9.772209e-06
274,,"[53.7, 80.0]",3878546,,,-0.05837516,,,,,"[69.1, 79.1]",,High Pass,,15.426276,,,,,,,,Throw-in,Christian Maggio,Right Back,,2.034664e-06
278,,"[77.0, 13.6]",3878546,,True,1.0615777,,,,,"[83.7, 25.6]",,High Pass,,13.743726,,,,,,,,Recovery,Marek Hamšík,Left Center Midfield,True,4.8378165e-06
282,,"[61.0, 40.1]",3878546,,,-3.0548544,Right Foot,,,,"[42.6, 38.5]",,Ground Pass,,18.469435,,,,,,,,Kick Off,Dries Mertens,Left Center Forward,,6.448225e-06
283,,"[42.6, 38.7]",3878546,,,0.5123895,Right Foot,,,,"[103.4, 72.9]",,High Pass,,69.75873,,,,,,,,,David López Silva,Right Center Midfield,,2.2647091e-05
284,,"[96.3, 80.0]",3878546,,,-0.6754537,,,,,"[113.4, 66.3]",,High Pass,,21.911184,,,,,,,,Throw-in,Christian Maggio,Right Back,,0.00019468353
286,,"[63.8, 65.6]",3878546,,,-0.4742106,Head,,,,"[75.1, 59.8]",,High Pass,,12.701574,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,,4.37753e-05
287,,"[77.9, 59.6]",3878546,,,2.5234485,Head,,,,"[68.9, 66.0]",,Low Pass,,11.0435505,,,,,,,,,Marek Hamšík,Left Center Midfield,True,3.752882e-05
288,,"[68.9, 66.0]",3878546,,,0.3688172,Right Foot,,,,"[85.2, 72.3]",,High Pass,,17.475124,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,1.3602481e-06
290,,"[63.8, 25.6]",3878546,,,-0.85039526,Right Foot,,,,"[71.7, 16.6]",,Ground Pass,,11.975391,,,,,,,,Free Kick,Mirko Valdifiori,Center Defensive Midfield,,2.3913108e-05
291,,"[71.5, 16.4]",3878546,,,2.535355,Left Foot,,,,"[64.0, 21.6]",,Ground Pass,,9.126335,,,,,,,,,Marek Hamšík,Left Center Midfield,,8.071506e-06
292,,"[63.8, 22.0]",3878546,,,2.5079596,Right Foot,,,,"[58.9, 25.6]",,Ground Pass,,6.080296,,,,,,,,,Elseid Hysaj,Left Back,,1.2408043e-06
293,,"[58.7, 27.3]",3878546,,,1.7901806,Right Foot,,,,"[55.4, 42.1]",,Ground Pass,,15.163443,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,2.490046e-05
294,,"[56.7, 44.0]",3878546,,,-0.73563087,Right Foot,,,,"[97.8, 6.8]",,High Pass,,55.435097,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,0.0005868174
295,,"[113.6, 22.6]",3878546,,,2.5794988,Left Foot,,,,"[98.2, 32.3]",,Ground Pass,,18.200275,,,,,,,,,Dries Mertens,Left Center Forward,,0.000138372
300,,"[34.5, 35.2]",3878546,,,-1.1875122,Right Foot,,,,"[37.0, 29.0]",,Ground Pass,,6.685058,,,,,,,,Free Kick,Raúl Albiol i Tortajada,Right Center Back,,1.2559046e-06
301,,"[58.7, 30.3]",3878546,,,-0.8473876,Right Foot,,,,"[65.5, 22.6]",,Ground Pass,,10.272779,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,True,3.836563e-05
303,,"[31.5, 37.2]",3878546,,,-1.2964144,Head,,,,"[35.3, 23.7]",,Low Pass,,14.024621,,,,,,,,Recovery,Raúl Albiol i Tortajada,Right Center Back,,1.93304e-05
304,,"[35.3, 23.3]",3878546,,,-0.91882885,Right Foot,,,,"[48.2, 6.4]",,Ground Pass,,21.260761,,,,,,,,,Elseid Hysaj,Left Back,,4.5155175e-06
305,,"[47.5, 12.6]",3878546,,,3.1415927,Right Foot,,,,"[41.5, 12.6]",,Ground Pass,,6.0,,,,,,,,,Marek Hamšík,Left Center Midfield,,2.0071868e-06
306,,"[41.5, 12.6]",3878546,,,-1.4005845,Right Foot,,,,"[42.6, 6.2]",,Ground Pass,,6.493843,,,,,,,,,Mirko Valdifiori,Center Defensive Midfield,,7.07106e-07
307,,"[42.6, 6.2]",3878546,,,0.48118967,Right Foot,,,,"[53.9, 12.1]",,High Pass,,12.747549,,,,,,,,,Elseid Hysaj,Left Back,,4.190163e-06
