,location,out,player,position,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_one_on_one,shot_open_goal,shot_outcome,shot_technique,shot_type,under_pressure,shot_saved_to_post,shot_saved_off_target,xG,match_id
78276,"[99.8, 33.4]",,Marek Hamšík,Left Center Midfield,,Left Foot,,"[108.5, 35.5]",True,,,Blocked,Volley,Open Play,,,,0.0016823666,3879686
78277,"[102.0, 23.6]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[104.2, 25.4]",,,,Blocked,Normal,Open Play,,,,0.0011575144,3879686
78278,"[107.2, 57.1]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 27.6, 0.7]",,,,Off T,Half Volley,Open Play,,,,0.0056445524,3879686
78279,"[101.9, 40.8]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[120.0, 34.9, 0.2]",,,,Off T,Normal,Open Play,,,,0.0046226108,3879686
78281,"[62.9, 35.5]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[115.2, 31.9]",,,,Wayward,Normal,Open Play,,,,0.0014516541,3879686
78282,"[102.4, 20.9]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 34.6, 3.9]",,,,Off T,Volley,Open Play,,,,0.0015317812,3879686
78283,"[109.2, 45.1]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[110.6, 44.4]",True,,,Blocked,Normal,Open Play,,,,0.002261736,3879686
78284,"[106.8, 48.0]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[109.3, 46.7]",True,,,Blocked,Normal,Open Play,,,,0.001388998,3879686
78286,"[108.7, 23.5]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 43.3, 4.0]",,,,Off T,Normal,Open Play,,,,0.013739374,3879686
78287,"[91.9, 40.7]",,Marek Hamšík,Left Center Midfield,,Left Foot,,"[93.5, 40.8]",,,,Blocked,Half Volley,Open Play,True,,,0.0026291283,3879686
78288,"[98.3, 48.8]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 32.5, 0.3]",,,,Off T,Normal,Open Play,,,,0.009416427,3879686
78290,"[106.3, 51.2]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[120.0, 43.2, 0.5]",,,,Goal,Normal,Open Play,,,,0.98427343,3879686
82349,"[107.9, 36.7]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 42.0, 5.3]",,,,Off T,Half Volley,Open Play,True,,,0.005010586,3879699
82350,"[103.9, 47.5]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 38.9, 1.2]",,True,,Goal,Normal,Open Play,,,,0.9652551,3879699
82352,"[83.6, 30.0]",,Faouzi Ghoulam,Left Back,,Left Foot,,"[120.0, 36.3, 4.1]",,,,Off T,Normal,Free Kick,,,,0.0024802776,3879699
82353,"[105.4, 54.7]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[107.6, 52.9]",,,,Blocked,Half Volley,Open Play,,,,0.0016701729,3879699
82354,"[108.0, 40.0]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 37.0, 0.5]",,,,Goal,Normal,Penalty,,,,0.99204165,3879699
82355,"[119.3, 62.4]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 54.2, 2.4]",,True,,Off T,Normal,Open Play,,,,0.00919262,3879699
82356,"[111.3, 55.1]",,José María Callejón Bueno,Right Wing,,Right Foot,,"[118.6, 43.9, 0.2]",True,,,Saved,Normal,Open Play,,,,0.0023471934,3879699
82359,"[85.0, 28.5]",,Faouzi Ghoulam,Left Back,,Left Foot,,"[120.0, 42.6, 5.3]",,,,Off T,Normal,Free Kick,,,,0.004102654,3879699
82360,"[101.2, 53.7]",,José María Callejón Bueno,Right Wing,,Left Foot,,"[108.2, 47.1]",,,,Blocked,Normal,Open Play,,,,0.0005783841,3879699
82361,"[107.1, 48.4]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[116.9, 43.3, 0.7]",True,,,Saved,Half Volley,Open Play,,,,0.0028462517,3879699
82364,"[100.8, 34.7]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 45.4, 5.0]",True,,,Off T,Normal,Open Play,,,,0.0013231415,3879699
82365,"[110.7, 32.2]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[120.0, 44.0, 0.2]",,True,,Goal,Normal,Open Play,True,,,0.7619192,3879699
82367,"[100.3, 36.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[101.2, 36.6]",,,,Blocked,Normal,Open Play,,,,0.002150376,3879699
82368,"[107.7, 20.7]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[120.0, 43.2, 4.2]",,,,Off T,Normal,Open Play,,,,0.0077430042,3879699
82369,"[99.9, 43.9]",,Gonzalo Gerardo Higuaín,Center Forward,,Left Foot,,"[120.0, 35.5, 3.5]",,,,Off T,Normal,Open Play,,,,0.0046293996,3879699
82371,"[105.2, 21.8]",,Ivan Strinić,Left Back,,Left Foot,,"[117.4, 36.9, 0.9]",,,,Saved,Normal,Open Play,,,,0.001794188,3879699
82372,"[105.7, 33.7]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[120.0, 51.6, 4.9]",True,,,Off T,Volley,Open Play,True,,,0.0033039702,3879699
82373,"[112.7, 49.7]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 42.2, 4.2]",,True,,Off T,Normal,Open Play,,,,0.011084082,3879699
82374,"[104.4, 24.8]",,Dries Mertens,Left Wing,,Left Foot,,"[120.0, 43.9, 0.2]",,,,Goal,Normal,Open Play,True,,,0.95766026,3879699
82375,"[109.4, 49.6]",,Omar El Kaddouri,Right Wing,,Right Foot,,"[119.1, 43.7, 0.2]",,,,Saved,Normal,Open Play,,,,0.0025364622,3879699
82376,"[103.5, 41.6]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[106.1, 41.4]",,,,Blocked,Volley,Open Play,True,,,0.0024304653,3879699
82378,"[105.7, 30.3]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[117.3, 38.1, 0.2]",,,,Saved,Normal,Open Play,True,,,0.003559636,3879699
82379,"[104.5, 34.9]",,Omar El Kaddouri,Right Wing,,Right Foot,,"[120.0, 50.3, 4.0]",,,,Off T,Half Volley,Open Play,,,,0.00094100524,3879699
86272,"[101.6, 43.4]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 44.9, 7.6]",True,,,Off T,Normal,Open Play,,,,0.0015244103,3879714
86273,"[65.9, 45.5]",,Marek Hamšík,Left Center Midfield,,Left Foot,,"[120.0, 50.9, 0.6]",,,,Off T,Half Volley,Open Play,,,,0.002042271,3879714
86274,"[110.3, 36.1]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 31.9, 2.2]",True,,,Off T,Volley,Open Play,True,,,0.006823742,3879714
86275,"[108.5, 49.8]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 43.8, 7.5]",True,,,Off T,Half Volley,Open Play,,,,0.0042385915,3879714
